Date,BRK/B ,JPM ,BAC ,WFC ,C ,AXP ,USB ,CME ,CB ,GS ,PNC ,SPGI ,MS ,ICE ,BLK ,MMC ,AIG ,AON ,PGR ,SCHW ,COF ,BBT ,AFL ,BK ,TRV ,MET ,PRU ,ALL ,MCO ,STI ,TROW ,DFS ,WLTW ,STT ,HIG ,MTB ,SYF ,NTRS ,FITB ,MSCI ,AMP ,CINF ,KEY ,AJG ,FRC ,CFG ,RF ,HBAN ,PFG ,MKTX ,L ,CBOE ,LNC ,NDAQ ,SIVB ,RE ,RJF ,CMA ,GL ,ETFC ,ZION ,AIZ ,BEN ,PBCT ,IVZ ,UNM ,AMG ,SSIXX 
12/31/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/31/2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
12/31/2009,#N/A,96.955,#N/A,#N/A,#N/A,#N/A,90.441,#N/A,#N/A,96.364,#N/A,#N/A,95.217,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.301,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
12/31/2010,99.16,73.076,92.903,96.936,93.922,87.104,94.261,64.379,77.473,73.172,96.054,95.236,78.987,94.443,96.793,72.46,97.753,81.01,97.946,80.836,86.993,95.592,98.402,79.987,80.49,98.074,86.521,57.469,97.43,97.549,99.138,95.947,94.195,89.366,84.315,98.11,#N/A,66.92,94.718,86.69,88.23,95.642,86.702,92.971,99.974,#N/A,84.04,92.748,98.02,98.743,98.612,90.073,80.6,95.383,96.5,85.761,#N/A,95.662,97.374,98.65,96.406,#N/A,99.08,86.593,55.702,97.031,55.194,
12/30/2011,#N/A,92.729,92.913,96.592,45.24,96.622,94.954,96.558,89.61,94.899,96.602,97.601,94.714,98.674,96.165,80.541,99.195,80.027,99.139,97.382,86.001,96.236,96.829,58.625,80.589,97.399,95.884,93.925,98.22,91.498,97.587,95.239,54.41,87.537,96.628,98.335,#N/A,76.244,95.962,90.85,92.16,98.887,95.989,92.28,99.1,#N/A,96.191,61.046,93.854,92.608,98.506,88.808,87.356,96.981,94.092,73.457,#N/A,93.651,98.281,84.313,97.732,98.205,#N/A,94.94,96.434,70.937,96.817,
12/31/2012,#N/A,94.365,93.856,97.732,91.652,89.388,95.413,97.341,96.653,87.561,84.015,96.977,86.733,98.735,86.19,96.28,98.233,91.62,98.889,92.111,79.239,92.071,98.143,96.916,#N/A,92.958,77.832,96.4,96.049,96.79,98.859,95.931,89.563,92.509,85.79,98.335,#N/A,87.324,94.285,91.36,87.555,98.772,96.204,97.47,65.841,#N/A,95.546,95.133,98.193,98.77,96.64,97.257,95.341,96.92,94.15,28.769,#N/A,61.698,97.519,89.354,97.572,94.092,#N/A,96.44,95.842,75.953,61.467,
12/31/2013,99.734,78.604,93.54,97.897,85.044,97.659,96.43,97.466,89.933,83.403,87.639,88.331,92.612,90.041,90.066,97.661,98.22,95.167,98.832,97.815,97.324,95.902,73.609,93.443,#N/A,97.448,85.845,96.099,95.479,93.198,98.832,93.629,91.005,94.085,80.699,98.588,#N/A,86.969,94.915,94.754,96.955,95.642,96.718,97.333,98.875,#N/A,96.257,97.565,98.043,96.611,96.561,95.002,96.25,98.459,98.73,45.325,98.785,88.22,97.842,94.616,96.674,92.09,99.022,91.053,84.685,97.478,87.669,
12/31/2014,#N/A,61.661,94.803,97.064,84.939,96.488,95.898,97.069,90.003,97.797,96.823,98.608,89.009,97.467,98.195,97.945,98.469,97.717,97.997,98.379,94.428,73.188,87.031,95.511,79.998,98.059,82.139,95.763,94.953,97.763,97.309,96.361,85.203,95.443,95.181,98.198,99.876,89.043,94.639,94.354,96.383,98.656,96.115,98.046,67.226,99.446,96.063,95.982,95.443,94.857,88.08,95.04,96.96,98.567,98.813,95.282,98.893,88.532,97.62,96.003,99.56,95.091,#N/A,91.053,83.307,69.382,97.202,
12/31/2015,#N/A,92.443,93.083,97.099,63.711,81.981,96.797,96.447,59.419,66.745,97.328,98.313,89.989,97.81,90.695,97.454,96.85,80.224,98.138,97.424,71.218,54.599,86.483,97.605,82.965,97.2,94.824,95.046,98.134,97.944,94.826,93.394,95.836,88.67,94.36,97.821,94.929,90.276,92.581,96.393,95.761,98.043,95.097,89.04,79.426,98.074,94.86,95.816,94.918,97.72,91.426,95.803,93.699,98.327,98.681,93.913,95.865,84.92,95.783,96.132,95.25,95.228,#N/A,81.023,79.682,97.276,55.194,
12/30/2016,99.707,93.136,95.586,96.839,96.631,73.058,75.31,95.127,95.974,93.084,97.894,97.606,90.419,96.793,90.221,96.637,98.049,92.986,97.825,97.012,95.3,94.665,81.343,97.985,93.594,86.111,93.383,95.421,96.821,98.426,95.605,95.913,85.611,96.48,96.645,98.513,96.836,97.935,93.971,76.928,81.153,98.195,95.507,96.456,98.644,97.416,96.494,96.59,96.614,98.477,90.421,97.243,91.486,98.353,98.794,91.877,96.652,97.824,96.62,92.927,94.072,94.938,97.199,96.38,79.943,96.241,61.807,
12/29/2017,#N/A,93.208,94.749,92.917,94.778,69.854,96.352,93.089,96.994,88.032,97.364,97.606,96.116,96.219,89.396,94.935,62.326,83.006,95.659,95.99,85.03,94.043,96.044,98.159,84.912,96.923,95.585,93.676,95.549,97.583,96.698,94.033,86.539,95.909,95.973,97.376,66.405,97.407,94.892,98.909,25.306,96.603,94.03,97.582,97.021,95.955,94.5,96.674,96.093,95.818,89.351,94.941,92.833,96.425,96.612,92.83,94.357,97.796,94.049,95.643,96.685,95.078,#N/A,95.761,62.148,95.178,94.279,
12/31/2018,#N/A,71.938,95.94,92.364,#N/A,96.483,95.649,94.087,94.177,90.95,95.304,95.847,96.262,95.236,95.717,93.41,54.657,93.015,94.677,94.714,95.133,95.149,96.029,96.971,94.298,95.298,93.13,89.082,93.967,97.632,95.315,91.565,97.851,90.889,75.099,96.987,90.207,96.981,92.435,98.169,33.875,97.134,91.38,93.347,88.99,94.374,94.703,94.927,96.942,72.77,#N/A,96.427,92.945,96.346,94.954,91.8,96.461,93.364,94.125,#N/A,94.578,97.066,#N/A,92.721,93.975,95.107,94.284,
